latitude,longitude,name
50.820259,4.377041,GEOBERNIER
50.85523,4.335619,PAAL
50.87815,4.430334,BOURGET
50.813379,4.433285,MASSARTTUIN
50.818353,4.405847,DELTA
50.818694,4.408515,INVALIDEN
50.813655,4.419876,KLEINEWIJNGAARD
50.876556,4.385391,ANATOLEFRANCE
50.817857,4.411678,CLESSE
50.803193,4.336665,XAVIERDEBUE
50.882814,4.322101,FERNANDEVOLRAL
50.837984,4.368667,LONDEN
50.888347,4.42516,VLIEGVELD
50.865434,4.421794,DUIVELTJES
50.886466,4.429606,MAES
50.838003,4.353594,POELAERT
50.847808,4.381205,WATERLOOWILSON
50.85302,4.341841,VLAAMSEPOORT
50.863667,4.413198,EENBOOM
50.849975,4.334359,DRIEHOEK
50.830981,4.289291,SCHERDEMAAL
50.833404,4.282615,SIBELIUS
50.835641,4.331204,ELOY
50.851039,4.307562,TAMARISKEN
50.830458,4.319426,KLEINEILAND
50.856934,4.303506,TIJM
50.810772,4.30347,HUMANITEIT
50.852693,4.307347,CONDOR
50.832052,4.324833,TWEESTATIONS
50.83792,4.381785,JOURDAN
50.819864,4.308609,ARBEID
50.817226,4.320107,VORST(BERVOETS)
50.850333,4.408414,GODD.ZALIGMAKER
50.857532,4.356298,ALBERTII
50.850804,4.410246,FEBRUARI
50.855187,4.42103,STEENBOK
50.857129,4.390241,VADERLAND
50.860536,4.392046,CHAZAL
50.850952,4.397026,MAX-PLASKY
50.878185,4.304287,HETVEROOST
50.862169,4.426066,TOL
50.863401,4.424931,VILLON
50.883549,4.419967,MIDDELWEG
50.874008,4.310317,LOWET
50.881959,4.417138,SABCA
50.874492,4.408605,MATISSE
50.870623,4.418589,JULESBORDET
50.852798,4.368894,QUETELET
50.847097,4.387396,MARGARETA
50.850536,4.338749,NINOOFSEPOORT
50.865494,4.327473,ELISABETHPARK
50.856412,4.369051,MIDDAGLIJN
50.879658,4.434499,EUROCONTROL
50.877078,4.300879,GANSHOREN-SPORT
50.862095,4.409177,OPTIMISME
50.895887,4.32702,AMETHIST
50.884412,4.343898,SOBIESKI
50.865035,4.408995,DUNANT
50.874191,4.346915,NEKKERSDAL
50.870793,4.34355,POESJKIN
